review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,engagement_score,price_bucket,review_month,age_group,segment
25,Shannon Hernandez,27,Apple,iPhone 15 Pro,997.61,997.61,USD,1.0,3.0,Neutral,USA,English,2023-06-27,True,2,4,3,3,4,2,eBay,5,"(971.942, 1235.916]",2023-06,26-35,Premium
26,Prof. Anne Krause,27,Google,Pixel 8,506.5,471.04,EUR,0.93,2.0,Negative,Germany,German,2024-06-05,False,1,3,3,1,1,3,AliExpress,3,"(443.994, 707.968]",2024-06,26-35,Upper-mid
27,Julie King,29,Motorola,Razr 40,673.77,929.8,CAD,1.38,3.0,Positive,Canada,English,2025-02-27,False,1,4,2,3,3,2,BestBuy,2,"(443.994, 707.968]",2025-02,26-35,Mid-range
28,Alexandra Le,25,Xiaomi,Poco X6,236.38,867.51,AED,3.67,3.0,Negative,UAE,English,2025-09-15,True,3,1,1,2,2,4,BestBuy,7,"(178.7, 443.994]",2025-09,18-25,Mid-range
29,Nicole Mack,29,Apple,iPhone 13,1094.1,1509.86,CAD,1.38,3.0,Positive,Canada,English,2024-04-02,True,4,3,3,3,1,3,Amazon,6,"(971.942, 1235.916]",2024-04,26-35,Premium
30,Chaaya Saran,30,Samsung,Galaxy S24,1369.88,113700.04,INR,83.0,3.0,Positive,India,Hindi,2023-06-24,True,3,3,3,5,3,5,BestBuy,8,"(1235.916, 1499.89]",2023-06,26-35,Premium
31,Troy Liu,39,Realme,Realme Narzo 70,298.0,411.24,CAD,1.38,1.0,Negative,Canada,English,2023-12-05,True,1,1,1,1,2,0,AliExpress,3,"(178.7, 443.994]",2023-12,36-45,Budget
32,Pamela Romero,33,Google,Pixel 7a,1084.64,1496.8,CAD,1.38,1.0,Negative,Canada,English,2023-04-05,True,2,1,1,1,1,5,Amazon,8,"(971.942, 1235.916]",2023-04,26-35,Upper-mid
33,Elizabeth Fowler,25,Realme,Realme Narzo 70,571.75,874.78,AUD,1.53,2.0,Negative,Australia,English,2025-05-25,True,1,3,1,3,1,0,Amazon,3,"(443.994, 707.968]",2025-05,18-25,Budget
34,Michael Prakash,45,Realme,Realme 12 Pro,543.18,45083.94,INR,83.0,1.0,Negative,India,Hindi,2023-06-29,False,1,1,1,1,1,3,Amazon,3,"(443.994, 707.968]",2023-06,36-45,Budget
35,Paula Moreno,45,Samsung,Galaxy A55,1071.57,1478.77,CAD,1.38,4.0,Positive,Canada,English,2022-10-22,True,4,5,5,4,2,4,Flipkart,7,"(971.942, 1235.916]",2022-10,36-45,Premium
36,Katherine Rodriguez,40,OnePlus,OnePlus Nord 3,438.64,605.32,CAD,1.38,4.0,Positive,Canada,English,2024-05-07,False,2,2,1,3,4,8,AliExpress,8,"(178.7, 443.994]",2024-05,36-45,Upper-mid
37,Wriddhish Bhardwaj,34,Apple,iPhone 14,906.6,75247.8,INR,83.0,4.0,Positive,India,Hindi,2023-10-31,True,5,2,3,3,2,5,eBay,8,"(707.968, 971.942]",2023-10,26-35,Premium
38,Anna Liz Barros,21,Xiaomi,Redmi Note 13,220.43,1256.45,BRL,5.7,4.0,Positive,Brazil,Portuguese,2024-11-14,True,3,2,3,4,1,4,eBay,7,"(178.7, 443.994]",2024-11,18-25,Mid-range
39,Raimund Reichmann,27,OnePlus,OnePlus Nord 3,917.83,853.58,EUR,0.93,1.0,Negative,Germany,German,2023-05-05,True,1,1,1,1,1,2,BestBuy,5,"(707.968, 971.942]",2023-05,26-35,Upper-mid
40,Vaishnavi Gandhi,38,Samsung,Galaxy S24,1147.47,95240.01,INR,83.0,2.0,Positive,India,Hindi,2023-12-07,True,1,2,2,1,2,4,eBay,7,"(971.942, 1235.916]",2023-12,36-45,Premium
41,Leon Davison,19,Google,Pixel 6,512.04,399.39,GBP,0.78,3.0,Positive,UK,English,2023-09-16,False,4,3,2,4,3,5,Amazon,5,"(443.994, 707.968]",2023-09,18-25,Upper-mid
42,Nicole Vaughn,18,Google,Pixel 8,887.55,1224.82,CAD,1.38,2.0,Neutral,Canada,English,2024-02-18,False,2,1,1,1,1,2,AliExpress,2,"(707.968, 971.942]",2024-02,18-25,Upper-mid
43,Michael Brooks,29,Samsung,Galaxy S24,924.51,924.51,USD,1.0,4.0,Positive,USA,English,2025-01-03,False,4,4,3,3,4,5,Flipkart,5,"(707.968, 971.942]",2025-01,26-35,Premium
44,David Brown,25,Realme,Realme Narzo 70,358.68,494.98,CAD,1.38,4.0,Positive,Canada,English,2022-11-23,True,3,2,4,2,4,3,BestBuy,6,"(178.7, 443.994]",2022-11,18-25,Budget
45,Crystal Robinson,37,Xiaomi,Mi 13 Pro,443.83,443.83,USD,1.0,4.0,Positive,USA,English,2023-02-09,True,5,4,3,5,2,7,AliExpress,10,"(178.7, 443.994]",2023-02,36-45,Mid-range
46,Amy Jones,28,Apple,iPhone 14,1292.9,1784.2,CAD,1.38,2.0,Neutral,Canada,English,2022-12-09,True,2,1,2,1,1,3,BestBuy,6,"(1235.916, 1499.89]",2022-12,26-35,Premium
47,Andrea Young,43,Apple,iPhone 13,1401.76,2144.69,AUD,1.53,4.0,Positive,Australia,English,2025-08-26,True,3,1,5,3,2,8,AliExpress,11,"(1235.916, 1499.89]",2025-08,36-45,Premium
48,Tanish Zacharia,36,Realme,Realme Narzo 70,238.49,19794.67,INR,83.0,3.0,Neutral,India,Hindi,2023-05-15,False,5,3,3,2,2,2,Amazon,2,"(178.7, 443.994]",2023-05,36-45,Budget
49,Sonya Johnston,38,Samsung,Galaxy Note 20,969.89,969.89,USD,1.0,2.0,Neutral,USA,English,2023-11-03,True,3,1,1,1,2,3,BestBuy,6,"(707.968, 971.942]",2023-11,36-45,Premium
50,Rhonda Lee,31,OnePlus,OnePlus 11R,574.7,793.09,CAD,1.38,5.0,Positive,Canada,English,2023-03-21,True,5,4,2,5,5,4,BestBuy,7,"(443.994, 707.968]",2023-03,26-35,Upper-mid
51,Ing. Hildegart Langern,34,Google,Pixel 7a,917.99,853.73,EUR,0.93,1.0,Negative,Germany,German,2024-10-16,True,2,2,2,1,1,2,BestBuy,5,"(707.968, 971.942]",2024-10,26-35,Upper-mid
52,Amy Valdez,55,Apple,iPhone 14,1094.51,1674.6,AUD,1.53,1.0,Negative,Australia,English,2025-07-21,True,1,1,1,2,1,0,eBay,3,"(971.942, 1235.916]",2025-07,46-55,Premium
53,Bento Guerra,30,Google,Pixel 6,700.1,3990.57,BRL,5.7,5.0,Positive,Brazil,Portuguese,2024-04-01,True,3,3,4,5,4,3,Flipkart,6,"(443.994, 707.968]",2024-04,26-35,Upper-mid
54,Ashley Lee,48,Google,Pixel 8,1048.91,1604.83,AUD,1.53,3.0,Positive,Australia,English,2025-02-01,True,4,2,1,5,3,4,Unknown,7,"(971.942, 1235.916]",2025-02,46-55,Upper-mid
55,Logan Sami,18,OnePlus,OnePlus Nord 3,473.95,39337.85,INR,83.0,5.0,Positive,India,Hindi,2023-08-03,True,5,2,2,3,3,6,Unknown,9,"(443.994, 707.968]",2023-08,18-25,Upper-mid
56,Ravi da Cruz,39,OnePlus,OnePlus 11R,366.5,2089.05,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-02-16,False,5,4,2,3,4,3,Flipkart,3,"(178.7, 443.994]",2023-02,36-45,Upper-mid
57,Henry Gibson,41,Motorola,Edge 50,633.36,494.02,GBP,0.78,1.0,Negative,UK,English,2025-07-31,True,1,1,1,1,1,3,BestBuy,6,"(443.994, 707.968]",2025-07,36-45,Mid-range
58,Dr. Tracy House DVM,18,Motorola,Moto G Power,355.65,490.8,CAD,1.38,3.0,Neutral,Canada,English,2023-07-07,True,3,1,4,1,4,8,Amazon,11,"(178.7, 443.994]",2023-07,18-25,Mid-range
59,John Hancock,36,Xiaomi,Redmi Note 13,211.23,775.21,AED,3.67,5.0,Positive,UAE,English,2023-01-21,False,4,4,3,5,3,4,eBay,4,"(178.7, 443.994]",2023-01,36-45,Mid-range
60,Aaron Myers,32,OnePlus,OnePlus Nord 3,438.98,605.79,CAD,1.38,2.0,Negative,Canada,English,2024-09-27,True,2,3,3,1,1,1,eBay,4,"(178.7, 443.994]",2024-09,26-35,Upper-mid
61,Michael Cross,22,OnePlus,OnePlus Nord 3,458.08,458.08,USD,1.0,3.0,Neutral,USA,English,2025-03-03,True,2,1,2,1,2,4,eBay,7,"(443.994, 707.968]",2025-03,18-25,Upper-mid
62,Mohammed Gupta,36,Realme,Realme Narzo 70,270.27,22432.41,INR,83.0,5.0,Positive,India,Hindi,2024-01-25,True,3,4,4,3,5,2,BestBuy,5,"(178.7, 443.994]",2024-01,36-45,Budget
63,Benjamin Pacheco,48,Apple,iPhone 14,1282.55,7310.54,BRL,5.7,3.0,Positive,Brazil,Portuguese,2025-02-10,True,3,2,3,3,3,3,AliExpress,6,"(1235.916, 1499.89]",2025-02,46-55,Premium
64,Erik Williams,31,Apple,iPhone 15 Pro,1460.19,2015.06,CAD,1.38,3.0,Positive,Canada,English,2024-10-31,True,1,3,3,3,4,7,Amazon,10,"(1235.916, 1499.89]",2024-10,26-35,Premium
65,Sarah Moore,18,Google,Pixel 6,923.35,1274.22,CAD,1.38,2.0,Negative,Canada,English,2024-12-18,True,1,3,1,2,2,2,BestBuy,5,"(707.968, 971.942]",2024-12,18-25,Upper-mid
66,Cody Larson,19,Google,Pixel 7a,857.76,857.76,USD,1.0,4.0,Positive,USA,English,2025-09-04,True,5,3,4,4,2,6,BestBuy,9,"(707.968, 971.942]",2025-09,18-25,Upper-mid
67,Dipl.-Ing. Bruno Roskoth B.A.,40,Xiaomi,Poco X6,635.05,590.6,EUR,0.93,4.0,Positive,Germany,German,2025-04-08,True,3,5,5,3,3,4,eBay,7,"(443.994, 707.968]",2025-04,36-45,Mid-range
68,Lorenzo Butte,18,Realme,Realme 12 Pro,300.64,279.6,EUR,0.93,5.0,Positive,Germany,German,2024-08-03,True,3,3,5,4,4,8,Flipkart,11,"(178.7, 443.994]",2024-08,18-25,Budget
69,Krystal Stewart,24,Xiaomi,Poco X6,503.87,770.92,AUD,1.53,3.0,Positive,Australia,English,2023-12-01,True,2,2,2,4,4,4,Flipkart,7,"(443.994, 707.968]",2023-12,18-25,Mid-range
70,Hollie Edwards,21,Google,Pixel 7a,822.18,641.3,GBP,0.78,3.0,Neutral,UK,English,2023-10-27,True,2,1,2,2,3,1,AliExpress,4,"(707.968, 971.942]",2023-10,18-25,Upper-mid
71,Carlos Brewer,20,OnePlus,OnePlus 12,615.49,849.38,CAD,1.38,5.0,Positive,Canada,English,2024-10-01,False,4,4,5,3,1,10,Flipkart,10,"(443.994, 707.968]",2024-10,18-25,Upper-mid
72,Paul Jones,40,Apple,iPhone 14,1266.69,1748.03,CAD,1.38,1.0,Negative,Canada,English,2024-10-02,True,2,2,1,1,1,2,Unknown,5,"(1235.916, 1499.89]",2024-10,36-45,Premium
73,Kristine Garcia,30,Samsung,Galaxy Z Flip,1217.97,4469.95,AED,3.67,1.0,Negative,UAE,English,2025-02-03,True,1,1,1,1,1,2,Amazon,5,"(971.942, 1235.916]",2025-02,26-35,Premium
74,Thiago da Luz,29,Motorola,Edge 50,656.62,3742.73,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-05-15,False,3,3,3,2,3,4,AliExpress,4,"(443.994, 707.968]",2023-05,26-35,Mid-range
75,Shirley Suarez,24,Xiaomi,Redmi Note 13,510.46,704.43,CAD,1.38,4.0,Positive,Canada,English,2024-05-18,True,3,1,4,5,2,6,eBay,9,"(443.994, 707.968]",2024-05,18-25,Mid-range
76,Jeffrey Daniels,18,Realme,Realme Narzo 70,214.6,787.58,AED,3.67,2.0,Neutral,UAE,English,2024-02-03,False,2,2,1,3,1,1,eBay,1,"(178.7, 443.994]",2024-02,18-25,Budget
77,Victoria Valdez,33,Motorola,Razr 40,790.39,2900.73,AED,3.67,4.0,Positive,UAE,English,2022-11-03,True,2,5,3,5,4,5,Flipkart,8,"(707.968, 971.942]",2022-11,26-35,Mid-range
78,Valentina Spieß,29,Motorola,Razr 40,752.51,699.83,EUR,0.93,3.0,Neutral,Germany,German,2023-03-31,True,4,2,4,2,1,0,BestBuy,3,"(707.968, 971.942]",2023-03,26-35,Mid-range
79,Franco Drub-Döring,39,Xiaomi,Redmi Note 13,490.99,456.62,EUR,0.93,3.0,Positive,Germany,German,2025-02-27,True,2,2,2,2,5,4,AliExpress,7,"(443.994, 707.968]",2025-02,36-45,Mid-range
80,Abigail Bird,29,Apple,iPhone 13,1084.41,845.84,GBP,0.78,4.0,Positive,UK,English,2023-09-14,True,2,5,4,3,4,3,Flipkart,6,"(971.942, 1235.916]",2023-09,26-35,Premium
81,Sra. Gabrielly Rodrigues,27,Apple,iPhone 15 Pro,726.56,4141.39,BRL,5.7,3.0,Positive,Brazil,Portuguese,2025-07-03,True,4,3,2,3,4,2,Flipkart,5,"(707.968, 971.942]",2025-07,26-35,Premium
82,Thiago Mendonça,33,Motorola,Moto G Power,524.78,2991.25,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2023-11-16,True,3,2,4,3,3,3,AliExpress,6,"(443.994, 707.968]",2023-11,26-35,Mid-range
83,George Sampath,24,Xiaomi,Mi 13 Pro,565.79,46960.57,INR,83.0,3.0,Positive,India,Hindi,2023-12-25,True,3,4,5,2,2,5,eBay,8,"(443.994, 707.968]",2023-12,18-25,Mid-range
84,Gavin Anderson,40,Google,Pixel 6,518.39,715.38,CAD,1.38,5.0,Positive,Canada,English,2023-12-02,True,4,5,5,3,4,5,eBay,8,"(443.994, 707.968]",2023-12,36-45,Upper-mid
85,Jeremy Thornton,24,Apple,iPhone 15 Pro,1280.21,1958.72,AUD,1.53,3.0,Positive,Australia,English,2025-03-11,False,3,3,3,1,4,4,Flipkart,4,"(1235.916, 1499.89]",2025-03,18-25,Premium
86,Isaac Borra,29,Google,Pixel 6,1082.84,89875.72,INR,83.0,5.0,Positive,India,Hindi,2025-09-29,True,5,5,4,5,2,5,eBay,8,"(971.942, 1235.916]",2025-09,26-35,Upper-mid
87,Teresa Fowler,33,Samsung,Galaxy Z Flip,1056.74,824.26,GBP,0.78,4.0,Positive,UK,English,2024-05-17,True,3,4,4,2,4,5,Flipkart,8,"(971.942, 1235.916]",2024-05,26-35,Premium
88,Brittany Anderson,26,Xiaomi,Mi 13 Pro,443.83,679.06,AUD,1.53,3.0,Neutral,Australia,English,2024-02-12,True,4,2,2,3,2,1,eBay,4,"(178.7, 443.994]",2024-02,26-35,Mid-range
89,Timothy Stanton,30,OnePlus,OnePlus 12,525.34,1928.0,AED,3.67,5.0,Positive,UAE,English,2022-12-22,False,5,4,5,3,5,5,BestBuy,5,"(443.994, 707.968]",2022-12,26-35,Upper-mid
90,Shivansh Krish,36,Samsung,Galaxy S24,707.93,58758.19,INR,83.0,3.0,Neutral,India,Hindi,2025-08-23,True,1,2,4,2,3,5,Amazon,8,"(443.994, 707.968]",2025-08,36-45,Premium
91,Richard Henson,41,Google,Pixel 8,1021.34,1409.45,CAD,1.38,3.0,Neutral,Canada,English,2024-07-14,True,3,1,4,1,3,1,AliExpress,4,"(971.942, 1235.916]",2024-07,36-45,Upper-mid
92,Vincenzo Hellwig-Fröhlich,33,Samsung,Galaxy Z Flip,1377.17,1280.77,EUR,0.93,3.0,Positive,Germany,German,2023-07-24,True,3,4,3,2,3,7,Amazon,10,"(1235.916, 1499.89]",2023-07,26-35,Premium
93,Frau Cindy Walter,18,Motorola,Edge 50,514.92,478.88,EUR,0.93,3.0,Positive,Germany,German,2024-03-21,False,4,2,2,1,2,3,AliExpress,3,"(443.994, 707.968]",2024-03,18-25,Mid-range
94,Isadora da Mata,39,Realme,Realme Narzo 70,440.19,2509.08,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-06-26,True,2,1,5,1,1,7,Flipkart,10,"(178.7, 443.994]",2023-06,36-45,Budget
95,Ashley Brennan,32,Apple,iPhone SE,856.62,856.62,USD,1.0,5.0,Positive,USA,English,2024-10-22,True,5,4,4,4,3,6,eBay,9,"(707.968, 971.942]",2024-10,26-35,Premium
96,Robert Stevens,28,Realme,Realme Narzo 70,294.5,294.5,USD,1.0,4.0,Positive,USA,English,2024-02-08,True,3,3,4,5,4,5,eBay,8,"(178.7, 443.994]",2024-02,26-35,Budget
97,Shelby Walker,31,Motorola,Moto G Power,530.14,530.14,USD,1.0,4.0,Positive,USA,English,2025-08-12,True,5,4,3,4,4,6,eBay,9,"(443.994, 707.968]",2025-08,26-35,Mid-range
98,Murilo Farias,23,Realme,Realme 12 Pro,525.5,2995.35,BRL,5.7,3.0,Positive,Brazil,Portuguese,2023-12-28,True,3,2,5,1,3,4,AliExpress,7,"(443.994, 707.968]",2023-12,18-25,Budget
99,Tracy Ramirez,32,Motorola,Moto G Power,585.18,2147.61,AED,3.67,1.0,Neutral,UAE,English,2025-07-14,True,2,1,1,1,1,2,BestBuy,5,"(443.994, 707.968]",2025-07,26-35,Mid-range
100,Meghan Anthony,35,Motorola,Edge 50,615.46,615.46,USD,1.0,1.0,Negative,USA,English,2024-03-19,True,2,1,1,1,1,1,eBay,4,"(443.994, 707.968]",2024-03,26-35,Mid-range
101,Danilo da Luz,18,Google,Pixel 6,541.65,3087.4,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-07-26,True,4,4,2,4,5,6,BestBuy,9,"(443.994, 707.968]",2023-07,18-25,Upper-mid
102,Victoria Johnson,20,Samsung,Galaxy Z Flip,1357.63,1873.53,CAD,1.38,3.0,Positive,Canada,English,2025-05-05,True,3,2,3,4,2,6,AliExpress,9,"(1235.916, 1499.89]",2025-05,18-25,Premium
103,Hemani Murthy,31,Realme,Realme Narzo 70,596.84,49537.72,INR,83.0,2.0,Negative,India,Hindi,2024-08-29,True,4,2,2,1,2,2,eBay,5,"(443.994, 707.968]",2024-08,26-35,Budget
104,Kayla Cruz,22,Xiaomi,Poco X6,351.56,485.15,CAD,1.38,4.0,Positive,Canada,English,2025-04-04,True,3,4,4,3,2,9,Amazon,12,"(178.7, 443.994]",2025-04,18-25,Mid-range
105,Andrew Graham,35,Apple,iPhone SE,1353.96,1868.46,CAD,1.38,4.0,Positive,Canada,English,2025-01-06,True,3,3,2,3,2,9,AliExpress,12,"(1235.916, 1499.89]",2025-01,26-35,Premium
106,Kimberly Ball,26,OnePlus,OnePlus Nord 3,676.67,1035.31,AUD,1.53,5.0,Positive,Australia,English,2025-08-28,True,4,5,5,3,4,4,eBay,7,"(443.994, 707.968]",2025-08,26-35,Upper-mid
107,Hans-Christian Losekann B.Sc.,44,OnePlus,OnePlus Nord 3,752.73,700.04,EUR,0.93,2.0,Neutral,Germany,German,2025-08-18,True,2,1,1,1,1,4,Unknown,7,"(707.968, 971.942]",2025-08,36-45,Upper-mid
108,Lisa Alvarado,19,Apple,iPhone 13,1199.12,1654.79,CAD,1.38,4.0,Positive,Canada,English,2023-05-03,True,3,3,4,3,2,4,Unknown,7,"(971.942, 1235.916]",2023-05,18-25,Premium
109,Jolanthe Jessel,33,Motorola,Razr 40,449.69,418.21,EUR,0.93,4.0,Positive,Germany,German,2025-08-22,True,2,4,3,4,4,4,BestBuy,7,"(443.994, 707.968]",2025-08,26-35,Mid-range
110,Eta Rau,18,Samsung,Galaxy Note 20,724.68,60148.44,INR,83.0,2.0,Neutral,India,Hindi,2025-10-09,True,1,1,1,2,2,4,Amazon,7,"(707.968, 971.942]",2025-10,18-25,Premium
111,Julia Clarke-Burton,23,Google,Pixel 7a,809.44,631.36,GBP,0.78,3.0,Negative,UK,English,2024-06-01,False,3,3,4,4,3,1,Unknown,1,"(707.968, 971.942]",2024-06,18-25,Upper-mid
112,Stephanie Gilbert,26,OnePlus,OnePlus Nord 3,682.94,2506.39,AED,3.67,2.0,Neutral,UAE,English,2024-02-01,True,2,1,1,3,1,1,Amazon,4,"(443.994, 707.968]",2024-02,26-35,Upper-mid
113,Roy Torres,37,OnePlus,OnePlus Nord 3,463.17,463.17,USD,1.0,5.0,Positive,USA,English,2023-09-13,True,5,4,3,5,4,5,AliExpress,8,"(443.994, 707.968]",2023-09,36-45,Upper-mid
114,Miss Joan Williams,30,Realme,Realme 12 Pro,515.46,402.06,GBP,0.78,4.0,Positive,UK,English,2025-09-05,True,4,5,4,4,5,4,Flipkart,7,"(443.994, 707.968]",2025-09,26-35,Budget
115,John Santana,31,Apple,iPhone 15 Pro,1045.66,1443.01,CAD,1.38,4.0,Positive,Canada,English,2023-07-12,True,3,3,4,3,2,11,eBay,14,"(971.942, 1235.916]",2023-07,26-35,Premium
116,Antonella da Paz,29,OnePlus,OnePlus 11R,704.27,4014.34,BRL,5.7,2.0,Negative,Brazil,Portuguese,2024-12-30,True,1,2,2,2,1,4,Amazon,7,"(443.994, 707.968]",2024-12,26-35,Upper-mid
117,Lisa Davis,33,Motorola,Edge 50,378.53,522.37,CAD,1.38,3.0,Neutral,Canada,English,2023-10-21,True,4,3,2,1,2,2,Flipkart,5,"(178.7, 443.994]",2023-10,26-35,Mid-range
118,Dean Wilson,24,Samsung,Galaxy S24,1133.07,883.79,GBP,0.78,2.0,Neutral,UK,English,2023-08-27,True,1,2,3,1,1,1,AliExpress,4,"(971.942, 1235.916]",2023-08,18-25,Premium
119,Aryan Batra,18,Xiaomi,Mi 13 Pro,638.33,52981.39,INR,83.0,1.0,Negative,India,Hindi,2023-11-06,True,1,1,1,2,2,0,eBay,3,"(443.994, 707.968]",2023-11,18-25,Mid-range
120,Prof. Sigrid Wilmsen B.Sc.,24,Apple,iPhone 13,1195.67,1111.97,EUR,0.93,3.0,Positive,Germany,German,2024-09-28,True,5,2,3,4,5,7,AliExpress,10,"(971.942, 1235.916]",2024-09,18-25,Premium
121,Univ.Prof. Leni Gude,39,Samsung,Galaxy A55,458.55,426.45,EUR,0.93,5.0,Positive,Germany,German,2025-10-07,True,5,5,3,4,4,6,BestBuy,9,"(443.994, 707.968]",2025-10,36-45,Premium
